1556, 2412, 18884, -269, -569
1508, 1412, 18248, 1293, -1147
2244, 1996, 18676, 1995, -1724
2672, 2144, 18056, 1902, -1968
764, 1176, 17232, 1334, -1772
1704, 1336, 18028, 1021, -1380
2284, 1948, 18392, 939, -1290
568, -2388, 26876, 750, -790
1904, 1528, 17804, -63, 1512
2916, 2692, 17764, -1211, 2330
2240, 2984, 17104, -2223, 2475
1244, 1240, 18244, -3321, 1956
2304, 52, 19280, -4192, 2176
1980, 2160, 18152, -4560, 3121
944, -340, 18584, -5087, 4134
264, 404, 18380, -5082, 4711
988, -332, 20112, -5145, 4666
304, -832, 18940, -3217, 4463
-1716, -944, 18628, -319, 1621
212, 1144, 18676, 282, 87
3776, 2760, 18656, -283, 284
288, -968, 18800, -140, 367
-156, -928, 18644, 32, 217
-64, -124, 18936, -194, 237
228, -1488, 18572, -85, 293
228, -1488, 18572, -85, 293
484, -312, 18644, -8, 259
212, -392, 18876, -146, 236
644, -160, 18772, -37, 263
-248, 112, 18564, -36, 286
648, -84, 19028, -138, 226
1132, -248, 18976, -50, 228
304, -132, 18664, -71, 260
432, -132, 18608, -114, 241
592, 128, 18576, -59, 231
592, 128, 18576, -59, 231
780, 368, 18764, -88, 258
328, -152, 18760, -143, 268
-160, -380, 18728, -107, 309
168, 52, 18616, -49, 284
408, -260, 18808, -105, 226
256, -180, 18748, -85, 251
